datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy
2022-04-20 10:37,2022-04-20 10:37,998.55,1,39.5,0.7581967213114754
2022-04-20 10:38,2022-04-20 10:38,999.64,0,39.5,0.7622950819672131
2022-04-20 10:39,2022-04-20 10:39,998.15,0,39.5,0.7704918032786885
2022-04-20 10:40,2022-04-20 10:40,999.95,0,39.5,0.7673469387755102
2022-04-20 10:41,2022-04-20 10:41,1000.8,1,39.5,0.7673469387755102
2022-04-20 10:42,2022-04-20 10:42,1001.67,0,39.5,0.7755102040816326
2022-04-20 10:43,2022-04-20 10:43,1000.14,0,39.5,0.7795918367346939
2022-04-20 10:44,2022-04-20 10:44,1001.99,0,39.5,0.7346938775510204
2022-04-20 10:45,2022-04-20 10:45,1002.36,0,39.5,0.7764227642276422
2022-04-20 10:46,2022-04-20 10:46,1004.19,0,39.5,0.7682926829268293
2022-04-20 10:47,2022-04-20 10:47,1003.15,1,39.5,0.7682926829268293
2022-04-20 10:48,2022-04-20 10:48,1001.5,0,39.5,0.7723577235772358
2022-04-20 10:49,2022-04-20 10:49,1004.72,0,39.5,0.7723577235772358
2022-04-20 10:50,2022-04-20 10:50,1004.99,0,39.5,0.7732793522267206
2022-04-20 10:51,2022-04-20 10:51,1005.5,0,39.5,0.7692307692307693
2022-04-20 10:52,2022-04-20 10:52,1006.46,1,39.5,0.7651821862348178
2022-04-20 10:53,2022-04-20 10:53,1006.56,-1,39.5,0.7125506072874493
2022-04-20 10:54,2022-04-20 10:54,1005.85,0,39.5,0.7692307692307693
2022-04-20 10:55,2022-04-20 10:55,1005.97,0,39.5,0.7701612903225806
2022-04-20 10:56,2022-04-20 10:56,1004.61,0,39.5,0.7661290322580645
2022-04-20 10:57,2022-04-20 10:57,1003.21,0,39.5,0.7661290322580645
2022-04-20 10:58,2022-04-20 10:58,1003.78,0,39.5,0.7661290322580645
2022-04-20 10:59,2022-04-20 10:59,1004.14,-1,39.5,0.7661290322580645
2022-04-20 11:00,2022-04-20 11:00,1002.2,1,39.5,0.7670682730923695
2022-04-20 11:01,2022-04-20 11:01,999.73,-1,39.5,0.7791164658634538
2022-04-20 11:02,2022-04-20 11:02,1000.67,1,39.5,0.7751004016064257
2022-04-20 11:03,2022-04-20 11:03,1002.15,0,39.5,0.7831325301204819
2022-04-20 11:04,2022-04-20 11:04,1002.75,1,39.5,0.7751004016064257
2022-04-20 11:05,2022-04-20 11:05,1002.0,0,39.5,0.7879999999999999
2022-04-20 11:06,2022-04-20 11:06,1002.91,1,39.5,0.7759999999999999
2022-04-20 11:07,2022-04-20 11:07,1001.47,0,39.5,0.7759999999999999
2022-04-20 11:08,2022-04-20 11:08,1001.57,1,39.5,0.78
2022-04-20 11:09,2022-04-20 11:09,1001.14,0,39.5,0.7759999999999999
2022-04-20 11:10,2022-04-20 11:10,1001.77,-1,39.5,0.7649402390438247
2022-04-20 11:11,2022-04-20 11:11,1001.25,0,39.5,0.7729083665338645
2022-04-20 11:12,2022-04-20 11:12,999.64,0,39.5,0.7689243027888446
2022-04-20 11:13,2022-04-20 11:13,998.73,1,39.5,0.7808764940239044
2022-04-20 11:14,2022-04-20 11:14,999.01,1,39.5,0.7768924302788844
2022-04-20 11:15,2022-04-20 11:15,999.14,-1,39.5,0.7698412698412699
2022-04-20 11:16,2022-04-20 11:16,998.98,0,39.5,0.7698412698412699
